type,matrix_size,time
naive,100,0.018000
better,100,0.006000
BLAS,100,0.008000
naive,100,0.017000
better,100,0.008000
BLAS,100,0.011000
naive,100,0.016000
better,100,0.010000
BLAS,100,0.010000
naive,100,0.013000
better,100,0.006000
BLAS,100,0.005000
naive,100,0.005000
better,100,0.006000
BLAS,100,0.000000
naive,100,0.010000
better,100,0.006000
BLAS,100,0.001000
naive,100,0.001000
better,100,0.008000
BLAS,100,0.000000
naive,100,0.009000
better,100,0.003000
BLAS,100,0.000000
naive,100,0.013000
better,100,0.006000
BLAS,100,0.001000
naive,100,0.002000
better,100,0.008000
BLAS,100,0.000000
naive,200,0.098000
better,200,0.061000
BLAS,200,0.008000
naive,200,0.061000
better,200,0.051000
BLAS,200,0.000000
naive,200,0.062000
better,200,0.047000
BLAS,200,0.003000
naive,200,0.061000
better,200,0.042000
BLAS,200,0.008000
naive,200,0.043000
better,200,0.052000
BLAS,200,0.008000
naive,200,0.053000
better,200,0.082000
BLAS,200,0.010000
naive,200,0.062000
better,200,0.041000
BLAS,200,0.008000
naive,200,0.051000
better,200,0.041000
BLAS,200,0.002000
naive,200,0.069000
better,200,0.071000
BLAS,200,0.002000
naive,200,0.051000
better,200,0.048000
BLAS,200,0.002000
naive,300,0.182000
better,300,0.142000
BLAS,300,0.021000
naive,300,0.232000
better,300,0.134000
BLAS,300,0.021000
naive,300,0.174000
better,300,0.188000
BLAS,300,0.021000
naive,300,0.165000
better,300,0.163000
BLAS,300,0.042000
naive,300,0.183000
better,300,0.131000
BLAS,300,0.021000
naive,300,0.173000
better,300,0.134000
BLAS,300,0.020000
naive,300,0.172000
better,300,0.132000
BLAS,300,0.020000
naive,300,0.173000
better,300,0.139000
BLAS,300,0.020000
naive,300,0.246000
better,300,0.154000
BLAS,300,0.021000
naive,300,0.163000
better,300,0.141000
BLAS,300,0.021000
naive,400,0.420000
better,400,0.325000
BLAS,400,0.047000
naive,400,0.425000
better,400,0.317000
BLAS,400,0.050000
naive,400,0.422000
better,400,0.325000
BLAS,400,0.049000
naive,400,0.427000
better,400,0.390000
BLAS,400,0.059000
naive,400,0.441000
better,400,0.347000
BLAS,400,0.041000
naive,400,0.479000
better,400,0.319000
BLAS,400,0.049000
naive,400,0.421000
better,400,0.376000
BLAS,400,0.047000
naive,400,0.436000
better,400,0.320000
BLAS,400,0.051000
naive,400,0.449000
better,400,0.324000
BLAS,400,0.044000
naive,400,0.455000
better,400,0.323000
BLAS,400,0.042000
naive,500,0.871000
better,500,0.638000
BLAS,500,0.093000
naive,500,0.867000
better,500,0.622000
BLAS,500,0.093000
naive,500,0.870000
better,500,0.664000
BLAS,500,0.092000
naive,500,0.866000
better,500,0.616000
BLAS,500,0.102000
naive,500,0.870000
better,500,0.681000
BLAS,500,0.092000
naive,500,0.863000
better,500,0.621000
BLAS,500,0.097000
naive,500,0.867000
better,500,0.620000
BLAS,500,0.101000
naive,500,0.940000
better,500,0.630000
BLAS,500,0.091000
naive,500,0.910000
better,500,0.627000
BLAS,500,0.092000
naive,500,0.924000
better,500,0.682000
BLAS,500,0.093000
naive,600,1.621000
better,600,1.119000
BLAS,600,0.172000
naive,600,1.523000
better,600,1.175000
BLAS,600,0.162000
naive,600,1.517000
better,600,1.116000
BLAS,600,0.170000
naive,600,1.518000
better,600,1.162000
BLAS,600,0.162000
naive,600,1.484000
better,600,1.078000
BLAS,600,0.153000
naive,600,1.544000
better,600,1.088000
BLAS,600,0.194000
naive,600,1.593000
better,600,1.077000
BLAS,600,0.166000
naive,600,1.490000
better,600,1.080000
BLAS,600,0.155000
naive,600,1.582000
better,600,1.109000
BLAS,600,0.159000
naive,600,1.481000
better,600,1.072000
BLAS,600,0.172000
naive,700,2.688000
better,700,1.715000
BLAS,700,0.303000
naive,700,2.724000
better,700,1.720000
BLAS,700,0.323000
naive,700,2.642000
better,700,1.899000
BLAS,700,0.297000
naive,700,2.782000
better,700,1.816000
BLAS,700,0.294000
naive,700,2.626000
better,700,1.762000
BLAS,700,0.298000
naive,700,2.682000
better,700,1.723000
BLAS,700,0.294000
naive,700,2.639000
better,700,1.753000
BLAS,700,0.296000
naive,700,2.714000
better,700,1.715000
BLAS,700,0.294000
naive,700,2.705000
better,700,1.764000
BLAS,700,0.294000
naive,700,2.679000
better,700,1.829000
BLAS,700,0.342000
